Month,Tourists,Cultural Hotspot,Avg. Spend per Visit ($),Event/Festival
January,5.6,Jaipur,220,Kite Festival
February,4.8,Varanasi,200,Maha Shivratri
March,6.2,Hampi,250,Holi
April,5.4,Udaipur,230,Mewar Festival
May,4.2,Darjeeling,210,Buddha Jayanti
June,3.8,Kerala,180,Monsoon Tourism
July,4.5,Leh-Ladakh,260,Hemis Festival
August,5.1,Amritsar,240,Independence Day
September,6,Mysore,270,Dasara Festival
October,7.2,Kolkata,300,Durga Puja
November,7.8,Pushkar,320,Camel Fair
December,8.5,Goa,350,Christmas & New Year
